32	0x20	 	75898	5299971	tgl	Di ako magpapatalo!	katalex	2016-07-25 16:07:26	2016-07-25 16:07:26
33	0x21	!	1652	2788083	tgl	Sikuin mo siya!	mervert1	2013-10-13 06:20:47	2013-10-13 06:20:53
34	0x22	"	771	11457613	tgl	Ano ba ang tinutukoy mo sa "patay?"	qwertzu	2023-01-14 05:33:40	2023-01-14 05:33:40
35	0x23	#	2	5222885	tgl	Namasyal kami kahapon kasama ang mga( anak ko/kaibigan ko.) kaya pag uwi ko pagud na pgud ako. Nagpahinga lang sandali tapos nagluto para sa hapunan.(TAGALOG) ## WE GO OUT YESTERDAY WITH MY KIDS OR WITH MY FRIENDS.IM SO TIRED.. WHEN WE GOT HOME ..I JUST REST FOR A WHILE AND AFTER THAT, I COOKED SOME FOODS FOR OUR DINNER.	ethelyebo	2016-06-18 23:14:07	2016-06-18 23:14:07
36	0x24	$	4	1856494	tgl	Si Tom ay kumikita ng $900 bawat linggo sa patatrabaho sa resort hotel.	bayan	2012-09-21 14:56:57	2012-09-21 14:56:57
37	0x25	%	8	11336835	tgl	Sa ika-14 ng Disyembre ng 2022 sa tsaahan, pinag-usapan namin ni Greg ang relasyon ng tao at ibang primado. Sabi kong kung mag-ahit ang "unggoy," mukhang tao. May 99% kompatibilidad ng DNA ang tao at tsimpanse. May "kahambogan" ang maraming relihiyoso sa tanggi nila.	nonong	2022-12-16 07:06:07	2022-12-16 07:07:28
38	0x26	&	2	12005024	tgl	Nitong umaga nang ika-19 ng Agosto ng 2023, sa Istarbak, nagdiskusyon kami ni Greg tungkol sa Asya. Sa musika sa bakgrawnd, napapakinggan namin ang R&B. Sabi kong sa Hapon at Korea, may R&B rin, pero sa sarili nilang wika. Ganoon din ang Hip-hop o Rap sa kanila. Sa unibersidad ko, nakikinig ang kaibigan kong si Steve K. na Kantones sa J-pop para matuto siya ng Hapones. Isa pa, sabi ko kay Greg na noong nasa Hapon ako, may maraming Taga-Iran sa industriya ng konstruksiyon. Nagsisiksikan sila sa parke tuwing katapusan ng linggo para magtsaa mula sa balde. May mga Taga-Irang nag-asawa nang Haponesa. Sabi ko rin kay Greg na ang Nagasaki ay dating isang Portuges na komersiyal na daungan. May mga Hapones ngayong hindi alam na may lahi silang Portuges mula sa mga marinero. Sa ibang tema, ang sulat na sinograma ay resulta nang matagal na kaos na ebolusyon sa Hapon at Tsina. Sa Korea, madalas gamitin ang alpabetong Hangeul nila, at ang sinograma ay nirereserba sa mga "mataas" na literatura. Kaya mas madali ang Koreano kaysa sa Hapones o Intsik, talaga. Hindi ko pa nabanggit kay Greg na interesado rin ako sa Taylandes at Byetnames na hindi gumagamit ng sinograma ngayon. Sa ibang tema, yaong mga "indihenong" Ainu sa Hokkaido ng Hapon ay mga mestisong nagmula sa Siberia.	nonong	2023-08-19 21:54:16	2023-08-19 22:08:24
39	0x27	'	1772	11751628	tgl	Ano ang itinitinda 'nyo?	qwertzu	2023-05-10 11:36:38	2023-05-10 11:36:38
40	0x28	(	53	11676067	tgl	Ang "Kulay-abong Ekstraterestre" ay madalas na nauugnay sa malalapit na engkuwentro at paghahabol sa pagdukot. Ang kaibigan kong Danes-Pranses na si Michael dito sa Isla Lulu ay naniniwala sa kanila. Mukhang marami ang sumusunod sa mga Kulay-abong Ekstraterestre. (Minsan iniisip ko kung si Michael ay may mga ninuno rin ng Amerindiyo.)	nonong	2023-04-12 10:30:14	2023-04-12 10:35:53
41	0x29	)	53	10325914	tgl	Tinitingnan ko na ang Sapot noon pang dekadang 1990, at alam kong basurahan itong lugar nang maraming mga sira-ulo. May sikolohiyang problema ang maraming tao. (Paunang naranasan ko ang sulatroniko naman noon pang dekadang 1980 sa unibersidad. Nagsimula ang Internet noon pang dekadang 1960, mula sa militar.)	nonong	2021-09-28 01:54:12	2021-09-29 01:43:14
43	0x2b	+	2	10724773	tgl	Ika-8 ng Oktubre ng 2016 ngayon. Pinapansin ni Vince na tindero sa 7-11 na ang mga keywords sa mga lengguwaheng pangkompyuter ay Ingles, kaya ang mga teknokrato sa buong itong daigdig ay nangangailangang marunong ng kahit na kaunting Ingles. Ang Java, C++, HTML, at mga ganoon ay hindi Ingles, pero ang mga keywords nga ay Ingles. Kahit na ginawa sa Suwisa ang Modula-2, ginamit nila ang Ingles para sa mga keywords.	nonong	2022-03-18 21:21:25	2022-03-18 21:21:25
