Left-to-right mark	369817	por	Qual o lugar mais bonito do mundo?‎	MUIRIEL	2010-03-07 22:21:42	2010-07-30 15:38:33
Final punctuation	404881	por	"Onde é sua casa?" "É bem ali"	brauliobezerra	2010-06-15 13:11:03	2010-06-15 13:11:03
Final punctuation	405580	por	"O que está acontecendo na caverna? Estou curioso." "Não faço ideia"	brauliobezerra	2010-06-16 03:06:01	2011-02-05 15:45:37
Final punctuation	418666	por	"Idade?" "16"	brauliobezerra	2010-07-05 16:59:44	2010-07-05 16:59:44
Question mark: preceeded by space	502289	por	Onde estão as duchas ?	alexandresalim	2010-09-07 01:44:33	2010-09-07 01:44:33
Ellipsis: too short	517494	por	Em Esperanto o acento tônico é sempre na penúltima sílaba..	anonym	2010-09-17 16:26:10	2010-09-17 16:26:10
Parentheses: closing mark succeeded by letter or digit	729138	por	Não estou entendendo nada (d)o que o estrangeiro está dizendo.	lenon_perez	2011-01-27 11:33:39	2011-01-27 11:33:39
Multiplication sign: possible homoglyph	732348	por	C++0x vai aceitar funções template que têm um número arbitrário de parâmetros.	brauliobezerra	2011-01-29 12:42:01	2011-01-29 12:42:01
Foreign: Leipzig = Lípsia	826366	por	Leipzig é uma cidade antiga.	brauliobezerra	2011-04-06 01:47:22	2011-04-06 01:47:22
Capitalization	937303	por	iPhones têm telas sensíveis ao toque do tipo capacitivo.	une_monica	2011-06-13 08:02:25	2011-06-13 08:02:25
Ellipsis: too short	1007547	por	Ramsés II reinou de 1304 a.C. a 1237 a.C..	alexmarcelo	2011-07-25 23:32:52	2011-07-25 23:32:52
Multiplication sign: possible homoglyph	1049839	por	Quais são as raízes da equação x² - 6x - 27 = 0?	alexmarcelo	2011-08-17 19:07:42	2011-08-17 19:07:42
Multiplication sign: possible homoglyph	1059900	por	Esboce o gráfico da função y = 2x + 3.	alexmarcelo	2011-08-23 02:43:06	2011-08-23 02:43:06
Dieresis: not used	1075217	por	Seu sobrenome é Müller; descende de alemão.	alexmarcelo	2011-08-31 21:47:17	2011-08-31 21:47:17
Double prime: possible homoglyph	1076900	por	Tenho uma TV de 30″.	alexmarcelo	2011-09-01 22:29:59	2011-09-01 22:29:59
Final punctuation	1138910	por	Sobre a borda cresce um velho carvalho, Do carvalho pendura um corrente dourada, Conforme esse sábio gato a corrente A rodeia muito em passeio;	flipe	2011-10-01 01:36:32	2011-10-01 01:36:32
Final punctuation	1138914	por	Muitos milagres: o gênio estranha, Uma ninfa cativante por sua beleza;	flipe	2011-10-01 01:37:34	2011-10-01 01:37:34
Final punctuation	1138916	por	Sobre caminho da floresta desconhecido De animais estranhos rastro maravilhoso, Aprofundando mais casinha rara, - Sem porta, sobre pernas de galinha;	flipe	2011-10-01 01:38:02	2011-10-01 01:38:02
Final punctuation	1138927	por	Eis que sem liberdade a princesa chora, E o lobo marrom a ela serve;	flipe	2011-10-01 01:39:56	2011-10-01 01:39:56
Final punctuation	1138930	por	Eis feiticeira em grande xícara Movendo-se mesmo sem embaraço;	flipe	2011-10-01 01:40:13	2011-10-01 01:40:13
Final punctuation	1138932	por	Eis que o rei Caveira junto ao ouro treme;	flipe	2011-10-01 01:40:30	2011-10-01 01:40:30
Final punctuation	1138936	por	E la sob o carvalho eu sentei E bebi muito mel;	flipe	2011-10-01 01:41:06	2011-10-01 01:41:06
Final punctuation	1145563	por	Os verbos esperantos são regulares;	tulio	2011-10-03 15:34:45	2011-10-03 15:34:45
Final punctuation	1145823	por	Você está carregando no “r”,	tulio	2011-10-03 15:34:51	2011-10-03 15:34:51
Final punctuation	1154218	por	Tem-se de completar a frase assim:	tulio	2011-10-05 23:52:12	2011-10-05 23:52:12
Final punctuation	1154220	por	A frase tem de ser completada assim:	tulio	2011-10-05 23:52:12	2011-10-05 23:52:12
Final punctuation	1154290	por	Quando a boa mulher mitigou sua sede, disse à menina:	tulio	2011-10-05 23:52:13	2011-10-05 23:52:13
Parentheses: unbalanced closing marks	1162306	por	Ajuntando às palavras demonstrativas a palavra "ĉi", obtemos indicação mais próxima; por exemplo: "tiu", esse, aquele (mais longe); "tiu ĉi" ou "ĉi tiu", este (mais perto); "tie", ali, lá, acolá), "tie ĉi" ou "ĉi tie", aqui, cá (perto).	tulio	2011-10-08 01:50:45	2011-10-08 01:50:45
English quotation marks: unbalanced opening marks	1163401	por	As tipografias que não tiverem as letras “ĉ”, “ĝ”, “ĥ”, “ĵ”, “ŝ, “ŭ” poderão, em vez delas, usar “ch”, “gh”, “hh”, “jh”, “sh”, “u”.	tulio	2011-10-08 01:51:07	2011-10-08 01:51:07
English quotation marks: opening mark preceeded by letter or digit	1163441	por	Particípios (com sentido adjetivo ou adverbial): ativo presente -“ant”; ativo passado“-int”; ativo futuro “-ont”; passivo presente “-at”; passivo passado “-it”; passivo futuro “-ot”.	tulio	2011-10-08 01:51:08	2011-10-08 01:51:08
Zero-width space	1242661	por	Toda pessoa tem direito ao trabalho, à livre escolha de seu trabalho, a condições equitativas e favoráveis ​​de trabalho e à proteção contra o desemprego.	Ricardo14	2011-11-16 22:14:24	2014-04-27 21:33:58
Exclamation mark: preceeded by space	1249653	por	Pare já com essa bagunça !	satsu	2011-11-19 23:35:03	2011-11-19 23:35:03
Exclamation mark: preceeded by space	1252078	por	Oh ! Maravilhoso.	satsu	2011-11-21 04:24:34	2011-11-21 04:24:34
Cedilla: followed by e or i	1267604	por	Timuçin voou de Yozgat para Varsóvia pela Ryan Air.	paula_guisard	2011-11-28 14:37:29	2011-11-28 14:37:29
Colon: succeeded by letter or punctuation	1335990	por	No meu idioma, "," se chama vírgula, ";" se chama ponto e vírgula, ":" se chama dois pontos, "…" se chama reticências e esta frase acaba com um ponto final.	alexmarcelo	2012-01-03 21:31:37	2012-01-03 21:31:37
Misspelling: excessão -> exceção	1353133	por	Compaixão instiga nos a trabalhar incansavelmente por suavisar o sofrimento de nossos entes próximos, para destronar nos mesmo do centro de nosso mundo e colocar outros lá, e a honrar a santidade intocável de toda a pessoa, tratando todos, sem excessão, com absoluta justiça, igualdade e respeito.	jxajroad	2012-01-11 11:53:45	2012-01-11 11:55:25
Dieresis: not used	1368288	por	Uma dieta rica em sal pode levar ao aumento da pressão sangüínea.	Flarioca	2012-01-18 03:14:13	2012-01-18 03:14:13
English quotation marks: unbalanced opening marks	1373680	por	Na língua internacional esperanto os substantivos terminam em “o’; os adjetivos, em “a”.	tulio	2012-01-20 13:41:22	2012-01-20 13:41:22
Colon: succeeded by letter or punctuation	1373712	por	O sol é uma grande estrela:? - Sim, ele é uma grande estrela.	tulio	2012-01-20 13:41:22	2012-01-20 13:41:22
Comma: succeeded by letter	1376574	por	Ele cantava com os pássaros, saudava a luz do Sol,dormia sem recear as feras.	tulio	2012-01-20 13:43:48	2012-01-20 13:43:48
Comma: succeeded by letter	1378671	por	Sem espada, sem insígnias nem ornamento acima do túmulo,sem cerimônias e sem formalidades fúnebres nem pompa.	tulio	2012-01-20 13:46:13	2012-01-20 13:46:13
Dieresis: not used	1378697	por	No tempo em que apareceu o esperanto, era propagada a língua artificial “volapük”, criada pelo sacerdote católico alemão Johann Martin Schleyer.	tulio	2012-01-20 13:46:13	2012-04-07 18:44:46
Dieresis: not used	1378699	por	A necessidade de uma língua internacional era tão grande, que algumas pessoas aprenderam o Volapük porque tinha uma gramática fácil.	tulio	2012-01-20 13:46:13	2012-01-20 13:46:13
Dieresis: not used	1378703	por	Por isso o Volapük, cujo criador não permitia melhoramentos em sua língua, morreu.	tulio	2012-01-20 13:46:13	2012-01-20 13:46:13
Dieresis: not used	1378705	por	Então, muitas pessoas, tendo abandonado o Volapük, aceitaram o Esperanto.	tulio	2012-01-20 13:46:14	2012-01-20 13:46:14
Misspelling: absolouta -> absoluta	1379371	por	Cada um desses homens possuía, realmente, um conjunto de sons convencionais, mediante os quais ele com absolouta precisão se compreendia com os seus vizinhos mais próximos.	tulio	2012-01-20 13:46:31	2012-01-20 13:46:31
Final punctuation	1381268	por	Poderíamos fazer o seguinte:	tulio	2012-01-20 13:48:26	2012-01-20 13:48:26
Final punctuation	1381272	por	O melhor caminho é o seguinte:	tulio	2012-01-20 13:48:26	2012-01-20 13:48:26
Final punctuation	1381278	por	Fiz isso do seguinte modo:	tulio	2012-01-20 13:48:26	2012-01-20 13:48:26
Question mark: preceeded by space	1452953	por	Por que as pessoas adicionam frases simples e comuns como "olá", "como vai", etc. ?	Emersono	2012-02-24 18:47:28	2012-02-24 18:47:28
Straight quotation marks: preceeded and succeeded by space	1558059	por	Ele disse: " Vem conosco!"	Antrobos	2012-05-01 12:02:06	2012-05-01 12:02:06
Capitalization	1561564	por	protótipo.js - insere informação de atualização na página quando a página é carregada.	Lamarck	2012-05-04 05:29:07	2012-05-04 05:29:07
