3303259	Ulvi	3303260	Ulvi
2767166	\N	3773653	Lehceler
3257491	biber	3986584	vertigo93
4101004	vertigo93	4107016	vertigo93
4036689	vertigo93	4340519	vertigo93
4411284	vertigo93	4411285	vertigo93
4411280	vertigo93	4411316	vertigo93
5364198	vo_gne	5741576	vo_gne
4107084	vertigo93	8163613	vo_gne
4407517	vertigo93	8163617	vo_gne
3997491	vertigo93	8781095	\N
3988825	vertigo93	8854126	aytanrust
4321280	vertigo93	9201029	soliloquist
2416254	vertigo93	9201035	soliloquist
1897911	LanguageExpert	9201044	soliloquist
4090258	vertigo93	9642606	TurkishReform
3334598	Serafettin	11505900	eses
3986537	vertigo93	12175719	Iye_Tete
