1629448	gulsen	1629457	gulsen
5810052	Kurdistanica	5810054	Kurdistanica
5810061	Kurdistanica	5810062	Kurdistanica
8313872	Adelpa	8313874	Adelpa
8326565	Adelpa	8326573	Adelpa
8326988	Adelpa	8326994	Adelpa
8339767	Adelpa	8339769	Adelpa
8353986	Adelpa	8353989	Adelpa
8339671	Adelpa	8362610	Adelpa
1695899	kara_melek	8472351	Adelpa
8349798	Adelpa	8717062	dilo1
8717069	dilo1	8717074	dilo1
8665277	Cibrani	8733369	dilo1
8336576	Adelpa	8752487	Cibrani
8300513	Adelpa	9155510	Gavbigav
8697798	Cibrani	9156258	Gavbigav
9163229	Gavbigav	9163231	Gavbigav
8300556	Adelpa	9167183	Gavbigav
9167184	Gavbigav	9167190	Gavbigav
9167176	Gavbigav	9167207	Gavbigav
8717150	dilo1	9206570	CrowdsourceKurdish
8349871	Adelpa	9206575	CrowdsourceKurdish
9209865	CrowdsourceKurdish	9615583	CrowdsourceKurdish
8325627	Adelpa	9655843	biyolojiyabikurdi
8368838	Adelpa	9657393	biyolojiyabikurdi
9697689	CrowdsourceKurdish	9697733	CrowdsourceKurdish
8300513	Adelpa	9727224	CrowdsourceKurdish
5810037	Kurdistanica	9727310	CrowdsourceKurdish
9167176	Gavbigav	9727541	CrowdsourceKurdish
9697179	CrowdsourceKurdish	9727963	CrowdsourceKurdish
9697160	CrowdsourceKurdish	9727964	CrowdsourceKurdish
8349546	Adelpa	9728034	CrowdsourceKurdish
8717083	dilo1	9728051	CrowdsourceKurdish
8874576	Kurd2020	9728115	CrowdsourceKurdish
5810040	Kurdistanica	9728142	CrowdsourceKurdish
9727557	CrowdsourceKurdish	9728144	CrowdsourceKurdish
8717068	dilo1	9728145	CrowdsourceKurdish
8378036	Adelpa	9728164	CrowdsourceKurdish
8874542	Kurd2020	9728220	CrowdsourceKurdish
8301471	Adelpa	9730023	CrowdsourceKurdish
8874592	Kurd2020	9730071	CrowdsourceKurdish
9729991	CrowdsourceKurdish	9735029	CrowdsourceKurdish
8733802	dilo1	9735042	CrowdsourceKurdish
9766313	CrowdsourceKurdish	9766316	CrowdsourceKurdish
9766323	CrowdsourceKurdish	9766326	CrowdsourceKurdish
9766349	CrowdsourceKurdish	9766351	CrowdsourceKurdish
9766361	CrowdsourceKurdish	9766365	CrowdsourceKurdish
9766746	CrowdsourceKurdish	9766748	CrowdsourceKurdish
9766754	CrowdsourceKurdish	9766757	CrowdsourceKurdish
9766780	CrowdsourceKurdish	9766783	CrowdsourceKurdish
9766790	CrowdsourceKurdish	9766795	CrowdsourceKurdish
9766824	CrowdsourceKurdish	9766826	CrowdsourceKurdish
9766834	CrowdsourceKurdish	9766839	CrowdsourceKurdish
9772469	CrowdsourceKurdish	9772471	CrowdsourceKurdish
9772501	CrowdsourceKurdish	9772503	CrowdsourceKurdish
9772575	CrowdsourceKurdish	9772577	CrowdsourceKurdish
9772615	CrowdsourceKurdish	9772617	CrowdsourceKurdish
9772629	CrowdsourceKurdish	9772632	CrowdsourceKurdish
9772642	CrowdsourceKurdish	9772645	CrowdsourceKurdish
9772683	CrowdsourceKurdish	9772687	CrowdsourceKurdish
9772697	CrowdsourceKurdish	9772699	CrowdsourceKurdish
9772720	CrowdsourceKurdish	9772722	CrowdsourceKurdish
9772729	CrowdsourceKurdish	9772731	CrowdsourceKurdish
9772748	CrowdsourceKurdish	9772751	CrowdsourceKurdish
9772756	CrowdsourceKurdish	9772758	CrowdsourceKurdish
9772775	CrowdsourceKurdish	9772778	CrowdsourceKurdish
9772783	CrowdsourceKurdish	9772785	CrowdsourceKurdish
9772803	CrowdsourceKurdish	9772805	CrowdsourceKurdish
9772811	CrowdsourceKurdish	9772813	CrowdsourceKurdish
9772836	CrowdsourceKurdish	9772838	CrowdsourceKurdish
9772844	CrowdsourceKurdish	9772846	CrowdsourceKurdish
9772879	CrowdsourceKurdish	9772881	CrowdsourceKurdish
9772887	CrowdsourceKurdish	9772889	CrowdsourceKurdish
9772912	CrowdsourceKurdish	9772916	CrowdsourceKurdish
9772921	CrowdsourceKurdish	9772923	CrowdsourceKurdish
9772944	CrowdsourceKurdish	9772946	CrowdsourceKurdish
9772951	CrowdsourceKurdish	9772953	CrowdsourceKurdish
9772973	CrowdsourceKurdish	9772975	CrowdsourceKurdish
9772980	CrowdsourceKurdish	9772983	CrowdsourceKurdish
9774072	CrowdsourceKurdish	9774074	CrowdsourceKurdish
9774081	CrowdsourceKurdish	9774084	CrowdsourceKurdish
9774113	CrowdsourceKurdish	9774117	CrowdsourceKurdish
9774123	CrowdsourceKurdish	9774125	CrowdsourceKurdish
9774201	CrowdsourceKurdish	9774203	CrowdsourceKurdish
9774208	CrowdsourceKurdish	9774210	CrowdsourceKurdish
9774227	CrowdsourceKurdish	9774229	CrowdsourceKurdish
9774252	CrowdsourceKurdish	9774254	CrowdsourceKurdish
9774259	CrowdsourceKurdish	9774261	CrowdsourceKurdish
9774280	CrowdsourceKurdish	9774282	CrowdsourceKurdish
9774287	CrowdsourceKurdish	9774289	CrowdsourceKurdish
9774312	CrowdsourceKurdish	9774314	CrowdsourceKurdish
9774320	CrowdsourceKurdish	9774322	CrowdsourceKurdish
9774339	CrowdsourceKurdish	9774341	CrowdsourceKurdish
9774347	CrowdsourceKurdish	9774349	CrowdsourceKurdish
9774365	CrowdsourceKurdish	9774367	CrowdsourceKurdish
9774372	CrowdsourceKurdish	9774374	CrowdsourceKurdish
9774391	CrowdsourceKurdish	9774393	CrowdsourceKurdish
9774398	CrowdsourceKurdish	9774400	CrowdsourceKurdish
9774419	CrowdsourceKurdish	9774422	CrowdsourceKurdish
9774428	CrowdsourceKurdish	9774430	CrowdsourceKurdish
9774448	CrowdsourceKurdish	9774450	CrowdsourceKurdish
9774455	CrowdsourceKurdish	9774458	CrowdsourceKurdish
9774479	CrowdsourceKurdish	9774481	CrowdsourceKurdish
9774488	CrowdsourceKurdish	9774490	CrowdsourceKurdish
9774511	CrowdsourceKurdish	9774513	CrowdsourceKurdish
9797778	CrowdsourceKurdish	9797780	CrowdsourceKurdish
9797913	CrowdsourceKurdish	9797915	CrowdsourceKurdish
9797921	CrowdsourceKurdish	9797923	CrowdsourceKurdish
9797940	CrowdsourceKurdish	9797942	CrowdsourceKurdish
9797949	CrowdsourceKurdish	9797951	CrowdsourceKurdish
9797985	CrowdsourceKurdish	9797987	CrowdsourceKurdish
9797992	CrowdsourceKurdish	9797994	CrowdsourceKurdish
9798011	CrowdsourceKurdish	9798013	CrowdsourceKurdish
9798018	CrowdsourceKurdish	9798020	CrowdsourceKurdish
9798038	CrowdsourceKurdish	9798040	CrowdsourceKurdish
9798045	CrowdsourceKurdish	9798047	CrowdsourceKurdish
9798065	CrowdsourceKurdish	9798067	CrowdsourceKurdish
9798074	CrowdsourceKurdish	9798076	CrowdsourceKurdish
9798206	CrowdsourceKurdish	9798209	CrowdsourceKurdish
9798218	CrowdsourceKurdish	9798220	CrowdsourceKurdish
9798243	CrowdsourceKurdish	9798246	CrowdsourceKurdish
9798253	CrowdsourceKurdish	9798256	CrowdsourceKurdish
9798275	CrowdsourceKurdish	9798277	CrowdsourceKurdish
9798286	CrowdsourceKurdish	9798288	CrowdsourceKurdish
9798295	CrowdsourceKurdish	9798297	CrowdsourceKurdish
9798304	CrowdsourceKurdish	9798307	CrowdsourceKurdish
9162362	HusseinHasso	9798350	CrowdsourceKurdish
9798873	CrowdsourceKurdish	9798875	CrowdsourceKurdish
9798882	CrowdsourceKurdish	9798897	CrowdsourceKurdish
9798903	CrowdsourceKurdish	9798905	CrowdsourceKurdish
9798910	CrowdsourceKurdish	9798912	CrowdsourceKurdish
9798091	CrowdsourceKurdish	9798944	CrowdsourceKurdish
9798092	CrowdsourceKurdish	9798945	CrowdsourceKurdish
9798093	CrowdsourceKurdish	9798947	CrowdsourceKurdish
9798094	CrowdsourceKurdish	9798948	CrowdsourceKurdish
9798096	CrowdsourceKurdish	9798949	CrowdsourceKurdish
9799016	CrowdsourceKurdish	9799019	CrowdsourceKurdish
9799024	CrowdsourceKurdish	9799027	CrowdsourceKurdish
9799034	CrowdsourceKurdish	9799037	CrowdsourceKurdish
9799044	CrowdsourceKurdish	9799046	CrowdsourceKurdish
9799078	CrowdsourceKurdish	9799884	CrowdsourceKurdish
9799889	CrowdsourceKurdish	9799891	CrowdsourceKurdish
9799896	CrowdsourceKurdish	9799898	CrowdsourceKurdish
9799906	CrowdsourceKurdish	9799909	CrowdsourceKurdish
9799991	CrowdsourceKurdish	9799993	CrowdsourceKurdish
9799999	CrowdsourceKurdish	9800002	CrowdsourceKurdish
9800009	CrowdsourceKurdish	9800011	CrowdsourceKurdish
9800016	CrowdsourceKurdish	9800018	CrowdsourceKurdish
9800104	CrowdsourceKurdish	9800108	CrowdsourceKurdish
9800117	CrowdsourceKurdish	9800119	CrowdsourceKurdish
9800124	CrowdsourceKurdish	9800127	CrowdsourceKurdish
