506700	majid	507812	majid
505873	8684	510490	arved
512593	mojtaba	512596	mojtaba
510737	imosallas	516947	omidadab
682753	pliiganto	682758	pliiganto
726257	Esperantodan	733385	EsperantoFarsi_Robot
694651	pliiganto	737654	EsperantoFarsi_Robot
737465	EsperantoFarsi_Robot	739750	pliiganto
699371	Esperantodan	740079	Esperantodan
717658	Esperantodan	740110	Esperantodan
684833	Esperantist	741014	EsperantoFarsi_Robot
724190	Esperantodan	741095	EsperantoFarsi_Robot
655643	pliiganto	742599	EsperantoFarsi_Robot
654565	pliiganto	747211	Esperantodan
654566	pliiganto	747212	Esperantodan
613648	Eldad	756589	EsperantoFarsi_Robot
720590	Esperantodan	760789	behi
700713	Esperantodan	780482	Esperantodan
713723	Esperantodan	787162	EsperantoFarsi_Robot
667786	pliiganto	791157	pliiganto
657579	pliiganto	791939	pliiganto
713752	Esperantodan	796284	Esperantodan
694762	pliiganto	796465	Esperantodan
653992	pliiganto	798548	EsperantoFarsi_Robot
523321	mahdiye	828096	pliiganto
737841	EsperantoFarsi_Robot	844435	behi
788953	EsperantoFarsi_Robot	849593	mahdiye
733257	EsperantoFarsi_Robot	915318	AsliAbbasi
657496	pliiganto	915321	AsliAbbasi
717586	Esperantodan	1036504	ghasemkiani
505875	navidst	1085107	AsliAbbasi
699844	Esperantodan	1167825	AsliAbbasi
654009	pliiganto	1204562	EsperantoFarsi_Robot
1081118	AsliAbbasi	1332688	elborz
666403	pliiganto	1454457	AsliAbbasi
888309	AsliAbbasi	1479387	AsliAbbasi
1332692	elborz	1480131	AsliAbbasi
653584	pliiganto	1524190	Balamax
796396	Esperantodan	1527115	AsliAbbasi
512593	mojtaba	1582859	AsliAbbasi
510489	pedrampc68	1624243	AsliAbbasi
1811641	bialynicki	1811642	Ameer
512584	hsoori	1883289	AsliAbbasi
730710	Esperantodan	1891369	AsliAbbasi
726237	Esperantodan	1975463	mkia
2099773	behi	2099832	behi
510737	imosallas	2164350	mnr
789935	EsperantoFarsi_Robot	2179051	ismaximum
1128834	AsliAbbasi	2300952	MEJSAM
2834130	moimir	2834133	moimir
748100	Esperantodan	2872299	Reza7
795688	pliiganto	3040708	ApAdAnA
717578	Esperantodan	3498174	bialynicki
888644	mahdiye	3653818	arashm
510737	imosallas	3700390	Svetik1
726153	Esperantodan	3793513	AchillePoirot
3806155	reto	3806156	reto
888365	AsliAbbasi	3846830	AchillePoirot
3850975	AchillePoirot	3850977	AchillePoirot
3866929	AchillePoirot	3866930	AchillePoirot
666403	pliiganto	4754789	mahdiye
4856768	amir_fekri	4856782	amir_fekri
4738130	Taner	5131564	Hussein64
726238	Esperantodan	5157835	salim346
786948	EsperantoFarsi_Robot	5157959	salim346
1582860	AsliAbbasi	5481725	Hussein64
5889882	sunino	5889888	sunino
907871	ghasemkiani	6098644	Towhidn
787260	EsperantoFarsi_Robot	6098656	Towhidn
1022476	mahdiye	6098658	Towhidn
3840084	kuarash	6098663	Towhidn
5118171	Hussein64	6098664	Towhidn
907871	ghasemkiani	6098670	Towhidn
796591	Esperantodan	6831702	cojiluc
6831659	cojiluc	6835186	cojiluc
3566396	reto	6835403	cojiluc
729406	Esperantodan	6837108	cojiluc
3566396	reto	6837587	cojiluc
1061405	farzandeljavan	6837589	cojiluc
1044733	saeedveradi	6839803	cojiluc
6831659	cojiluc	6839870	cojiluc
787321	EsperantoFarsi_Robot	6841288	cojiluc
700728	Esperantodan	6841710	cojiluc
6830717	cojiluc	6841771	cojiluc
6830739	cojiluc	6842978	cojiluc
4294567	deadmarshal	6845474	cojiluc
699252	Esperantodan	6929980	cojiluc
787321	EsperantoFarsi_Robot	6932550	cojiluc
753566	Esperantodan	6958979	cojiluc
6961349	cojiluc	6961350	cojiluc
7135554	pliiganto	7135556	pliiganto
6830381	cojiluc	7309189	cojiluc
852491	AsliAbbasi	7546771	cojiluc
6098666	Towhidn	7745957	mshahriarinia
7754643	cojiluc	7754645	cojiluc
755071	EsperantoFarsi_Robot	7796815	cojiluc
726404	Esperantodan	7813300	cojiluc
915293	AsliAbbasi	8108812	kutschektar
717573	Esperantodan	8135288	cojiluc
8164851	cojiluc	8164853	cojiluc
6841667	cojiluc	8265664	cojiluc
848076	mahdiye	8296484	cojiluc
8247051	cojiluc	8296500	cojiluc
741015	EsperantoFarsi_Robot	8470375	Pasargad
7722754	cojiluc	8490915	cojiluc
523325	mahdiye	8991956	Hassan66
4746344	mahdiye	9839133	anushka
9861948	sinakd	9862074	sinakd
888314	AsliAbbasi	9867130	sinakd
554408	ghasemkiani	9870775	anushka
796591	Esperantodan	9872672	cojiluc
7544913	cojiluc	9872674	cojiluc
7831381	cojiluc	9889075	cojiluc
512584	hsoori	9915766	cojiluc
8140446	cojiluc	9933125	cojiluc
686400	pliiganto	9966556	cojiluc
10019492	malizadeh	10019493	malizadeh
654376	pliiganto	10770787	cojiluc
6831659	cojiluc	10770986	cojiluc
7559378	cojiluc	10792769	cojiluc
7523423	cojiluc	10843192	cojiluc
11023336	Amirreza_Farid	11023338	Amirreza_Farid
11115326	sinakd	11115333	sinakd
512584	hsoori	11115336	sinakd
667786	pliiganto	11120064	sinakd
11122419	sinakd	11122451	sinakd
11122462	sinakd	11122479	sinakd
11122449	sinakd	11122481	sinakd
11122447	sinakd	11122482	sinakd
11125696	sinakd	11125740	sinakd
11125699	sinakd	11125743	sinakd
11125736	sinakd	11125753	sinakd
8273922	cojiluc	11656639	cojiluc
5299734	zila	12059243	Mahtabb
733245	EsperantoFarsi_Robot	12081728	Myrjam
785979	EsperantoFarsi_Robot	12081729	Myrjam
12081869	Mahtabb	12081870	Nasrin
1022476	mahdiye	12081889	Masi
777458	pliiganto	12081897	Mahtabb
588492	mahdiye	12081906	Masi
736471	Esperantodan	12081918	Mahtabb
588515	mahdiye	12081934	Mahtabb
12081878	Nasrin	12081941	Mahtabb
12081723	Myrjam	12085859	Mahtabb
505873	8684	12085862	Mahtabb
505875	navidst	12085863	Mahtabb
736471	Esperantodan	12085866	Mahtabb
10736495	cojiluc	12085875	Mahtabb
510489	pedrampc68	12085907	Mahtabb
588492	mahdiye	12085916	Mahtabb
12106196	Nasrin	12106197	Mahtabb
3040788	ApAdAnA	12112472	Soomi
7004759	cojiluc	12138345	cojiluc
8364554	cojiluc	12176687	cojiluc
4758499	mahdiye	12248562	Suroosh
6830737	cojiluc	12252471	\N
