ހ	+0	21	+	9956848	Dhoru
ށ	+0	21	+	11155504	Dhoru
ނ	+0	35	+	8898758	\N
ނޑ	+0	1	+	9956850	Dhoru
ރ	+0	27	+	7803580	sofwath
ބ	+0	14	+	9942088	Dhoru
ޅ	+0	5	+	9940546	Dhoru
ކ	+0	34	+	10480655	Dhoru
-އ	+0	3	+	8898757	\N
އ	+0	34	+	10646169	Dhoru
ވ	+0	24	+	8898757	\N
މ	+0	24	+	9940550	Dhoru
ފ	+0	9	+	7803580	sofwath
ދ	+0	20	+	10646169	Dhoru
ތ	+0	22	+	11155510	Dhoru
ލ	+0	13	+	7803580	sofwath
ގ	+0	14	+	9940548	Dhoru
ޏ	+0	1	+	9940557	Dhoru
ސ	+0	17	+	9940546	Dhoru
ޑ	+0	3	+	9940563	Dhoru
ޒ	+0	1	+	9940559	Dhoru
ޓ	+0	12	+	9940551	Dhoru
ޔ	+0	2	+	7803580	sofwath
ޕ	+0	3	+	11155505	Dhoru
ޖ	+0	4	+	10480655	Dhoru
ޗ	+0	1	+	7803580	sofwath
ޝ	+0	1	+	7803580	sofwath
ޤ	+0	1	+	9942094	Dhoru
