က	+0	6	+	3155113	\N
ဂ	+0	6	+	3224690	\N
င	+0	4	+	3153808	\N
စပ	+0	1	+	3224690	\N
စမ	+0	1	+	3153809	\N
ဆ	+0	1	+	3153809	\N
ဏ	+0	3	+	3224690	\N
ဏအ	+0	1	+	3153809	\N
တ	+0	3	+	3155119	\N
တင	+0	2	+	3155113	\N
န	+0	4	+	3155116	\N
ပ	+0	3	+	3153809	\N
ပမ	+0	1	+	3153822	\N
ဗ	+0	5	+	3153809	\N
ဘ	+0	1	+	3155116	\N
မ	+0	7	+	3153804	\N
ရ	+0	7	+	3153809	\N
ရဟ	+0	1	+	3153809	\N
လ	+0	1	+	3155116	\N
သ	+0	1	+	3155119	\N
ဟ	+0	2	+	3224690	\N
အ	+0	6	+	3153818	\N
အပ	+0	1	+	3153808	\N
အလ	+0	1	+	3153808	\N
ၚ	+0	1	+	3224690	\N
