-	+0	2	+	12068247	taro
10,000	+0	1	+	11858229	taro
16	+0	1	+	11756421	taro
20	+0	1	+	11823352	taro
2:30	+0	1	+	11766438	taro
3	+0	1	+	12047503	taro
30	+0	1	+	11846026	taro
40	+0	1	+	12027474	taro
H2SO4	+0	1	+	11765898	taro
अ	+0	22	+	11804653	taro
अक	+0	11	+	12130389	taro
अग	+0	27	+	12317740	taro
अघ	+0	9	+	11864840	taro
अङ	+0	2	+	12084503	taro
अच	+0	2	+	11929461	taro
अचम	+0	2	+	11927364	taro
अझ	+0	49	+	11839636	taro
अठ	+0	3	+	11929371	taro
अड	+0	1	+	11756459	taro
अण	+0	5	+	12054463	taro
अत	+0	8	+	11970422	taro
अथक	+0	1	+	12194629	taro
अद	+0	4	+	7306393	oya163
अध	+0	13	+	12163813	taro
अन	+0	45	+	12041837	taro
अप	+0	12	+	12041729	taro
अपन	+0	1	+	12065766	taro
अपम	+0	3	+	11929255	taro
अपर	+1	4	+	11922463	taro
अपव	+0	2	+	11831587	taro
अफ	+0	4	+	11883463	taro
अफग	+0	1	+	11856440	taro
अब	+0	26	+	11938392	taro
अभ	+0	4	+	11784917	taro
अम	+0	12	+	11763933	taro
अर	+0	52	+	11756379	taro
अल	+0	28	+	12012591	taro
अलमलम	+0	2	+	11766425	taro
अलव	+0	5	+	12068085	taro
अव	+0	7	+	12049502	taro
अवर	+0	1	+	11864571	taro
अवस	+0	5	+	12205688	taro
अश	+0	1	+	12199573	taro
अष	+0	12	+	11848366	taro
अस	+0	45	+	12281859	taro
असफलत	+0	1	+	12207100	taro
असभ	+0	2	+	11763458	taro
असम	+0	2	+	12267996	taro
असर	+0	1	+	11805476	taro
असल	+0	5	+	11763940	taro
असहज	+0	1	+	11938096	taro
अह	+0	56	+	3307643	Malape
आ	+0	8	+	11913216	taro
आइ	+0	1	+	11885543	taro
आइतब	+0	1	+	11987394	taro
आइतव	+0	3	+	12152698	taro
आइप	+0	5	+	11864570	taro
आइरह	+0	1	+	12348012	taro
आइसक	+1	2	+	12361287	taro
आईड	+0	1	+	12268023	taro
आउ	+0	8	+	3836149	atulatma
आउछ	+0	2	+	7296482	oya163
आउद	+0	3	+	11763950	taro
आउन	+1	21	+	11763385	taro
आए	+0	5	+	11821428	taro
आएक	+0	25	+	11848358	taro
आएन	+0	1	+	12065552	taro
आएनन	+0	3	+	12065551	taro
आएर	+0	1	+	12152695	taro
आक	+0	13	+	11825664	taro
आकर	+0	2	+	11929479	taro
आग	+0	11	+	11924530	taro
आगल	+0	1	+	11783061	taro
आच	+0	1	+	12068257	taro
आज	+0	62	+	12027846	taro
आजक	+0	8	+	11955775	taro
आजकल	+0	5	+	11821794	taro
