-	+0	10	+	10820680	\N
00	+0	1	+	10878098	\N
1	+0	3	+	10872549	\N
10	+0	3	+	10842126	\N
100	+0	2	+	10824748	\N
12	+0	1	+	10813539	\N
1314	+0	1	+	10809532	\N
1348	+0	1	+	10877595	\N
1350	+0	1	+	10877595	\N
13A	+0	1	+	10864026	\N
14	+0	1	+	10884100	\N
1400	+0	1	+	10889225	\N
15	+0	2	+	10814232	\N
1584	+0	1	+	10877525	\N
16	+0	2	+	10804699	\N
17	+0	1	+	10804699	\N
170	+0	1	+	10818793	\N
1764	+0	1	+	10833826	\N
18	+0	2	+	10884243	\N
1830ታት	+0	1	+	10891659	\N
1840	+0	1	+	10848357	\N
1853	+0	1	+	10814305	\N
1860	+0	1	+	10814302	\N
1900ታትጀሚሩ	+0	1	+	10886346	\N
1930ታት	+0	1	+	10814298	\N
1932	+0	1	+	10868816	\N
1963	+0	1	+	10868802	\N
1968	+0	1	+	10868812	\N
1970	+0	1	+	10821036	\N
1973	+0	1	+	10877903	\N
2	+0	4	+	10826825	\N
20	+0	2	+	10814287	\N
200	+0	2	+	10814278	\N
2008	+0	1	+	10877903	\N
2014	+0	1	+	10863615	\N
-22	+0	1	+	10873011	\N
2-2	+0	1	+	10863610	\N
22	+0	1	+	10826825	\N
2:30	+0	2	+	10872200	\N
25	+0	1	+	10814236	\N
250000	+0	1	+	10809493	\N
3	+0	5	+	10840688	\N
30	+0	4	+	10889102	\N
31	+0	1	+	10833157	\N
33	+0	1	+	10864026	\N
3,400	+0	1	+	10850101	\N
39	+0	1	+	10851025	\N
4	+0	1	+	10868828	\N
41ን	+0	1	+	10884243	\N
47	+0	1	+	10820696	\N
4ይ	+0	1	+	10866325	\N
5	+0	1	+	10835264	\N
50	+0	3	+	10833163	\N
514	+0	1	+	10842155	\N
5,200	+0	1	+	10891672	\N
54	+0	1	+	10804762	\N
6ን	+0	1	+	10884243	\N
7	+0	2	+	10878098	\N
8	+0	1	+	10827202	\N
80	+0	1	+	10877903	\N
90	+0	1	+	10833467	\N
9:00	+0	1	+	10863431	\N
A	+0	1	+	10852946	\N
B	+0	1	+	10852946	\N
C	+0	1	+	10873011	\N
P	+0	1	+	10814092	\N
p	+0	1	+	10833686	\N
q	+0	1	+	10833686	\N
Tatoeba.org	+0	1	+	10831358	\N
UN	+0	1	+	10827368	\N
x	+0	1	+	10852946	\N
ሁከር	+0	1	+	10833939	\N
ሁድ	+0	1	+	10804738	\N
ሂበካ	+0	1	+	10888808	\N
ሂቡ	+0	3	+	10858319	\N
ሂቡኒ	+0	2	+	10818365	\N
ሂቡዋ	+0	1	+	10821123	\N
ሂባቶ	+0	2	+	10875061	\N
ሂብኒ	+0	1	+	10891938	\N
ሂብዎ	+0	1	+	10855498	\N
ሂብዎም	+0	1	+	10880380	\N
ሂትለር	+0	1	+	10809174	\N
ሂወተይ	+0	2	+	10824914	\N
ሂወት	+0	6	+	10838184	\N
ሂወቶም	+0	2	+	10877940	\N
ሃ	+0	1	+	10853503	\N
ሃለዊን	+0	1	+	10863676	\N
ሃለዋተይ	+0	1	+	10831152	\N
ሃለዋቱ	+0	1	+	10818548	\N
ሃሊዩ	+0	1	+	10840178	\N
ሃላይ	+0	2	+	10874957	\N
ሃሌሉያ	+0	1	+	10886655	\N
ሃሎዊን	+0	1	+	10872525	\N
ሃመማ	+0	2	+	10845214	\N
ሃሩር	+0	3	+	10891541	\N
ሃሪ	+0	5	+	10850982	\N
ሃሪማትኒ	+0	1	+	10807412	\N
ሃሪማትካ	+0	2	+	10892176	\N
ሃሪሰን	+0	1	+	10833936	\N
ሃራም	+0	1	+	10826681	\N
ሃሮልድ	+0	1	+	10807137	\N
ሃሰው	+0	1	+	10820754	\N
ሃሳሳት	+0	1	+	10826698	\N
ሃበኒ	+0	1	+	10855957	\N
ሃብ	+0	1	+	10855708	\N
ሃብቲ	+0	1	+	10889225	\N
ሃብቲ'ዚ	+0	1	+	10855229	\N
ሃብታማት	+0	1	+	10814298	\N
ሃብታም	+0	3	+	10866485	\N
ሃብትን	+0	1	+	10864013	\N
ሃብትኻ	+0	1	+	10881010	\N
ሃብኒ	+0	1	+	10824742	\N
ሃብኩኻ	+0	1	+	10863818	\N
ሃብዎ	+0	1	+	10833732	\N
ሃተውተው	+0	3	+	10869556	\N
ሃነጽቲ	+0	1	+	10893937	\N
ሃነፍነፍ	+0	1	+	10896462	\N
ሃኒጸልኪ	+0	1	+	10875032	\N
ሃኒጸን	+0	1	+	10863542	\N
ሃኒጹን	+0	1	+	10821514	\N
ሃኒጽና	+0	1	+	10816159	\N
ሃንስ	+0	1	+	10838056	\N
ሃንት	+0	1	+	10809193	\N
ሃንደበታዊ	+0	3	+	10821174	\N
ሃንደበታውን	+0	1	+	10886547	\N
ሃንደበት	+0	14	+	10820689	\N
ሃካይ	+0	1	+	10835397	\N
ሃክቲ	+0	1	+	10814044	\N
ሃዋሁ	+0	1	+	10891692	\N
ሃዋህው	+0	1	+	10875493	\N
ሃዋይ	+0	1	+	10833759	\N
ሃውሪ	+0	1	+	10815873	\N
ሃውስ	+0	2	+	10893740	\N
ሃውክ	+0	1	+	10807582	\N
ሃይ	+0	1	+	10814217	\N
ሃይማኖታውያን	+0	1	+	10839774	\N
ሃይማኖት	+0	2	+	10855786	\N
ሃይማኖትን	+0	2	+	10818329	\N
ሃደነ	+0	1	+	10884472	\N
ሃደን	+0	1	+	10818283	\N
ሃደንቲ	+0	1	+	10877396	\N
ሃዲሙ	+0	5	+	10844949	\N
ሃዲምካ	+0	1	+	10813661	\N
ሃዲና	+0	1	+	10853576	\N
ሃዳኒ	+0	1	+	10825387	\N
ሃዳናይ	+0	2	+	10898276	\N
ሃድን	+0	1	+	10838029	\N
ሃገራት	+0	21	+	10831316	\N
ሃገራትን	+0	1	+	10872876	\N
ሃገራዊ	+0	2	+	10839957	\N
ሃገራዊት	+0	1	+	10855799	\N
ሃገር	+0	20	+	10840487	\N
ሃገርና	+0	3	+	10845798	\N
ሃገርን	+0	1	+	10835461	\N
ሃገርካ	+0	2	+	10827033	\N
ሃገሮም	+0	3	+	10872528	\N
ሃጸይ	+0	2	+	10833863	\N
ሄለና	+0	1	+	10839918	\N
ሄለን	+0	1	+	10825511	\N
ሄሊኮፕተር	+0	2	+	10868707	\N
ሄሎ	+0	1	+	10851053	\N
ሄንሪ	+0	1	+	10813983	\N
ሄዋን	+0	1	+	10875061	\N
